recd,NetID,Brand,Age.f,Status.i,PHI.i,Status.f,PHI.f,Damage_related
140,J139,Dawaplus 2.0,6,New,0,Not used last night,NA,No
141,J140,Dawaplus 2.0,6,New,0,Not used last night,NA,No
142,J141,Dawaplus 2.0,6,New,0,Used last night,NA,No
143,J142,Dawaplus 2.0,6,New,0,Used last night,NA,No
144,J143,Dawaplus 2.0,6,New,0,Not used last night,NA,No
145,J144,Dawaplus 2.0,6,New,0,Used last night,NA,No
146,J145,Dawaplus 2.0,6,New,0,Used last night,NA,No
147,J146,Dawaplus 2.0,6,New,0,Used last night,NA,No
148,J147,Dawaplus 2.0,6,New,0,Used last night,NA,No
149,J148,Dawaplus 2.0,6,New,0,Used last night,NA,No
150,J149,Dawaplus 2.0,6,New,0,Used last night,NA,No
151,J150,Dawaplus 2.0,6,New,0,Used last night,NA,No
154,J153,Dawaplus 2.0,6,New,0,Not in use,NA,No
155,J154,Dawaplus 2.0,6,New,0,Not in use,NA,No
156,J155,Dawaplus 2.0,6,New,0,Used last night,NA,No
157,J156,Dawaplus 2.0,6,New,0,Not in use,NA,No
158,J157,Dawaplus 2.0,6,New,0,Not in use,NA,No
159,J158,Dawaplus 2.0,6,New,0,Not in use,NA,No
160,J159,Dawaplus 2.0,6,New,0,Not in use,NA,No
162,J161,Dawaplus 2.0,6,New,0,Not in use,NA,No
163,J162,Dawaplus 2.0,6,New,0,Used last night,NA,No
164,J163,Dawaplus 2.0,6,New,0,Used last night,NA,No
165,J164,Dawaplus 2.0,6,New,0,Used last night,NA,No
166,J165,Dawaplus 2.0,6,New,0,Used last night,NA,No
167,J166,Dawaplus 2.0,6,New,0,Used last night,NA,No
168,J167,Dawaplus 2.0,6,New,0,Not in use,0,No
169,J168,Dawaplus 2.0,6,New,0,Not in use,NA,No
170,J169,Dawaplus 2.0,6,New,0,Used last night,NA,No
171,J170,Dawaplus 2.0,6,New,0,Used last night,0,No
172,J171,Dawaplus 2.0,6,New,0,Not in use,NA,No
173,J172,Dawaplus 2.0,6,New,0,Not in use,NA,No
174,J173,Dawaplus 2.0,6,New,0,Used last night,NA,No
175,J174,Dawaplus 2.0,6,New,0,Not in use,NA,No
176,J175,Dawaplus 2.0,6,New,0,Not in use,NA,No
177,J176,Dawaplus 2.0,6,New,0,Not in use,NA,No
178,J177,Dawaplus 2.0,6,New,0,Used last night,NA,No
179,J178,Dawaplus 2.0,6,New,0,Used last night,NA,No
180,J179,Dawaplus 2.0,6,New,0,Used last night,NA,No
181,J180,Dawaplus 2.0,6,New,0,Not in use,NA,No
182,J181,Dawaplus 2.0,6,New,0,Not in use,NA,No
183,J182,Dawaplus 2.0,6,New,0,Not in use,NA,No
184,J183,Dawaplus 2.0,6,New,0,Not in use,NA,No
188,J187,Dawaplus 2.0,6,New,0,Used last night,NA,No
189,J188,Dawaplus 2.0,6,New,0,Used last night,NA,No
190,J189,Dawaplus 2.0,6,New,0,Used last night,NA,No
191,J190,Dawaplus 2.0,6,New,0,Used last night,NA,No
192,J191,Dawaplus 2.0,6,New,0,Used last night,NA,No
193,J192,Dawaplus 2.0,6,New,0,Used last night,NA,No
194,J193,Dawaplus 2.0,6,New,0,Used last night,NA,No
195,J194,Dawaplus 2.0,6,New,0,Used last night,NA,No
196,J195,Dawaplus 2.0,6,New,0,Used last night,NA,No
197,J196,Dawaplus 2.0,6,New,0,Used last night,NA,No
198,J197,Dawaplus 2.0,6,New,0,Not used last night,NA,No
199,J198,Dawaplus 2.0,6,New,0,Not in use,NA,No
200,J199,Dawaplus 2.0,6,New,0,Used last night,NA,No
201,J200,Dawaplus 2.0,6,New,0,Used last night,NA,No
202,J201,Dawaplus 2.0,6,New,0,Used last night,NA,No
203,J202,Dawaplus 2.0,6,New,0,Used last night,NA,No
204,J203,Dawaplus 2.0,6,New,0,Used last night,NA,No
205,J204,Dawaplus 2.0,6,New,0,Used last night,NA,No
206,J205,Dawaplus 2.0,6,New,0,Used last night,0,No
207,J206,Dawaplus 2.0,6,New,0,Not in use,NA,No
208,J207,Dawaplus 2.0,6,New,0,Not in use,NA,No
209,J208,Dawaplus 2.0,6,New,0,Not in use,NA,No
211,J210,Dawaplus 2.0,6,New,0,Used last night,NA,No
213,J212,Dawaplus 2.0,6,New,0,Used last night,NA,No
214,J213,Dawaplus 2.0,6,New,0,Used last night,NA,No
215,J214,Dawaplus 2.0,6,New,0,Used last night,NA,No
216,J215,Dawaplus 2.0,6,New,0,Used last night,NA,No
217,J216,Dawaplus 2.0,6,New,0,Used last night,NA,No
