"","S_1","S_2","S_3","S_4","A","Month"
"2162",0.0422753297982177,0.191153417958421,0.031856777852332,0.343060076669372,0.391654397721659,25.944
"2163",0.042224359351066,0.191104258930336,0.0318183693520089,0.343030826871184,0.391822185495406,25.956
"2164",0.04217345035971,0.191055102227287,0.0317800071574912,0.343001504450691,0.391989935804822,25.968
"2165",0.0421226027500382,0.191005947871951,0.0317416912129656,0.342972109518353,0.392157648646692,25.98
"2166",0.0420718164480282,0.190956795886954,0.0317034214626862,0.34294264218451,0.392325324017822,25.992
"2167",0.0420210913797473,0.190907646294866,0.031665197850974,0.342913102559379,0.392492961915034,26.004
"2168",0.041970427471352,0.190858499118203,0.0316270203222171,0.342883490753056,0.392660562335172,26.016
"2169",0.0419198246490877,0.190809354379428,0.0315888888208704,0.342853806875518,0.392828125275096,26.028
"2170",0.0418692828392892,0.190760212100953,0.0315508032914558,0.342824051036617,0.392995650731686,26.04
"2171",0.0418188019683799,0.190711072305133,0.0315127636785619,0.342794223346085,0.39316313870184,26.052
"2172",0.0417683819628723,0.190661935014273,0.0314747699268441,0.342764323913535,0.393330589182476,26.064
"2173",0.0417180227493674,0.190612800250623,0.0314368219810242,0.342734352848456,0.393498002170529,26.076
"2174",0.041667724254555,0.190563668036382,0.0313989197858907,0.342704310260219,0.393665377662954,26.088
"2175",0.0416174864052132,0.190514538393694,0.0313610632862986,0.342674196258071,0.393832715656724,26.1
"2176",0.0415673091282086,0.190465411344652,0.0313232524271691,0.342644010951141,0.394000016148829,26.112
"2177",0.0415171923504962,0.190416286911296,0.0312854871534897,0.342613754448438,0.394167279136281,26.124
"2178",0.0414671359991189,0.190367165115614,0.0312477674103144,0.342583426858847,0.394334504616107,26.136
"2179",0.0414171400012079,0.19031804597954,0.0312100931427629,0.342553028291135,0.394501692585354,26.148
"2180",0.0413672042839823,0.190268929524958,0.0311724642960214,0.34252255885395,0.394668843041089,26.16
"2181",0.041317328774749,0.190219815773699,0.0311348808153418,0.342492018655817,0.394835955980394,26.172
"2182",0.0412675134009027,0.190170704747541,0.031097342646042,0.342461407805143,0.395003031400371,26.184
"2183",0.0412177580899258,0.190121596468211,0.0310598497335057,0.342430726410215,0.395170069298142,26.196
"2184",0.0411680627693881,0.190072490957386,0.0310224020231822,0.342399974579199,0.395337069670845,26.208
"2185",0.0411184273669469,0.190023388236687,0.0309849994605868,0.342369152420142,0.395504032515637,26.22
"2186",0.0410688518103468,0.189974288327688,0.0309476419913001,0.342338260040971,0.395670957829694,26.232
"2187",0.0410193360274198,0.189925191251909,0.0309103295609683,0.342307297549494,0.395837845610208,26.244
"2188",0.0409698799460848,0.189876097030819,0.0308730621153031,0.3422762650534,0.396004695854393,26.256
"2189",0.0409204834943476,0.189827005685836,0.0308358396000813,0.342245162660258,0.396171508559477,26.268
"2190",0.0408711466003013,0.189777917238327,0.0307986619611454,0.342213990477516,0.39633828372271,26.28
"2191",0.0408218691921255,0.189728831709608,0.0307615291444027,0.342182748612508,0.396505021341356,26.292
"2192",0.0407726511980864,0.189679749120944,0.0307244410958259,0.342151437172443,0.396671721412701,26.304
"2193",0.0407234925465371,0.189630669493548,0.0306873977614524,0.342120056264415,0.396838383934047,26.316
"2194",0.040674393165917,0.189581592848585,0.030650399087385,0.342088605995398,0.397005008902715,26.328
"2195",0.0406253529847518,0.189532519207167,0.030613445019791,0.342057086472248,0.397171596316042,26.34
"2196",0.0405763719316537,0.189483448590357,0.0305765355049027,0.342025497801701,0.397338146171386,26.352
"2197",0.0405274499353208,0.189434381019166,0.0305396704890172,0.341993840090376,0.39750465846612,26.364
"2198",0.0404785869245375,0.189385316514556,0.0305028499184961,0.341962113444773,0.397671133197637,26.376
"2199",0.040429782828174,0.18933625509744,0.0304660737397656,0.341930317971273,0.397837570363348,26.388
"2200",0.0403810375751863,0.189287196788677,0.0304293418993164,0.341898453776141,0.398003969960679,26.4
"2201",0.0403323510946164,0.189238141609081,0.0303926543437037,0.341866520965521,0.398170331987078,26.412
"2202",0.0402837233155916,0.189189089579412,0.030356011019547,0.341834519645442,0.398336656440008,26.424
"2203",0.0402351541673252,0.189140040720382,0.03031941187353,0.341802449921812,0.39850294331695,26.436
"2204",0.0401866435791154,0.189090995052655,0.0302828568524007,0.341770311900425,0.398669192615405,26.448
"2205",0.0401381914803461,0.189041952596842,0.0302463459029711,0.341738105686954,0.398835404332887,26.46
"2206",0.0400897978004864,0.188992913373507,0.0302098789721174,0.341705831386956,0.399001578466934,26.472
"2207",0.0400414624690903,0.188943877403164,0.0301734560067796,0.34167348910587,0.399167715015096,26.484
"2208",0.039993185415797,0.188894844706278,0.0301370769539617,0.341641078949019,0.399333813974944,26.496
"2209",0.0399449665703307,0.188845815303265,0.0301007417607314,0.341608601021607,0.399499875344066,26.508
"2210",0.0398968058625003,0.188796789214491,0.0300644503742201,0.341576055428722,0.399665899120067,26.52
"2211",0.0398487032221993,0.188747766460274,0.0300282027416232,0.341543442275334,0.399831885300569,26.532
"2212",0.0398006585794059,0.188698747060883,0.0299919988101991,0.341510761666298,0.399997833883214,26.544
"2213",0.039752671864183,0.188649731036538,0.0299558385272703,0.34147801370635,0.400163744865659,26.556
"2214",0.0397047430066777,0.188600718407411,0.0299197218402223,0.34144519850011,0.400329618245579,26.568
"2215",0.0396568719371214,0.188551709193626,0.0298836486965042,0.341412316152081,0.400495454020668,26.58
"2216",0.0396090585858297,0.188502703415256,0.0298476190436282,0.341379366766652,0.400661252188635,26.592
"2217",0.0395613028832024,0.188453701092328,0.0298116328291698,0.341346350448091,0.400827012747209,26.604
"2218",0.0395136047597232,0.188404702244821,0.0297756900007676,0.341313267300555,0.400992735694134,26.616
"2219",0.0394659641459598,0.188355706892665,0.0297397905061232,0.34128011742808,0.401158421027173,26.628
"2220",0.0394183809725636,0.188306715055741,0.0297039342930014,0.341246900934589,0.401324068744105,26.64
"2221",0.0393708551702697,0.188257726753885,0.0296681213092296,0.341213617923888,0.401489678842728,26.652
"2222",0.0393233866698968,0.188208742006882,0.0296323515026981,0.341180268499667,0.401655251320857,26.664
