,Country,NetCode,NetID,Brand,Status.12,Status.24,Status.6,Status.18,Status.48,Status.30,Status.42,,
7510,Zambia,10407,10407,Olyset,LastNight,LastNight,NA,NotUse,NA,LastNight,NA,,
7585,Zambia,10408,10408,Olyset,LastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
11671,Zambia,10409,10409,Olyset,LastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
7813,Zambia,10410,10410,Olyset,LastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
9935,Zambia,10411,10411,Olyset,NotLastNight,NA,NA,Unclear,NA,NA,NA,,
7314,Zambia,10412,10412,Olyset,LastNight,LastNight,NA,LastNight,NA,NotLastNight,NA,,
9936,Zambia,10413,10413,Olyset,LastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
7965,Zambia,10414,10414,Olyset,LastNight,Attrited,NA,LastNight,NA,NA,NA,,
11672,Zambia,10415,10415,Olyset,LastNight,NA,NA,NA,NA,NA,NA,,
7586,Zambia,10416,10416,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
9937,Zambia,10417,10417,Olyset,LastNight,Attrited,NA,LastNight,NA,NA,NA,,
7533,Zambia,10418,10418,Olyset,NotLastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
11673,Zambia,10419,10419,Olyset,NotLastNight,LastNight,NA,NotLastNight,NA,LastNight,NA,,
9938,Zambia,10420,10420,Olyset,LastNight,Attrited,NA,LastNight,NA,NA,NA,,
8060,Zambia,10421,10421,Olyset,LastNight,Attrited,NA,LastNight,NA,NA,NA,,
7966,Zambia,10422,10422,Olyset,LastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
7315,Zambia,10423,10423,Olyset,LastNight,LastNight,NA,NotLastNight,NA,Unclear,NA,,
7316,Zambia,10424,10424,Olyset,LastNight,NotLastNight,NA,LastNight,NA,NotLastNight,NA,,
7587,Zambia,10425,10425,Olyset,LastNight,LastNight,NA,NotLastNight,NA,NA,NA,,
11674,Zambia,10501,10501,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
7999,Zambia,10502,10502,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
7530,Zambia,10503,10503,Olyset,LastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
7317,Zambia,10504,10504,Olyset,LastNight,NotLastNight,NA,LastNight,NA,NotLastNight,NA,,
7318,Zambia,10505,10505,Olyset,LastNight,NotLastNight,NA,LastNight,NA,NotLastNight,NA,,
9939,Zambia,10506,10506,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
7967,Zambia,10507,10507,Olyset,LastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
7319,Zambia,10508,10508,Olyset,LastNight,Unclear,NA,LastNight,NA,NotLastNight,NA,,
7320,Zambia,10509,10509,Olyset,LastNight,LastNight,NA,LastNight,NA,NotLastNight,NA,,
7814,Zambia,10510,10510,Olyset,LastNight,LastNight,NA,LastNight,NA,NotLastNight,NA,,
7968,Zambia,10511,10511,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
7588,Zambia,10512,10512,Olyset,LastNight,LastNight,NA,NotUse,NA,Attrited,NA,,
7969,Zambia,10513,10513,Olyset,LastNight,NA,NA,NA,NA,NA,NA,,
7589,Zambia,10514,10514,Olyset,LastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
9940,Zambia,10515,10515,Olyset,LastNight,Attrited,NA,LastNight,NA,NA,NA,,
9941,Zambia,10516,10516,Olyset,NotLastNight,NA,NA,Attrited,NA,NA,NA,,
7970,Zambia,10517,10517,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
8002,Zambia,10518,10518,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
7321,Zambia,10519,10519,Olyset,LastNight,Attrited,NA,LastNight,NA,NotLastNight,NA,,
8003,Zambia,10520,10520,Olyset,LastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
8004,Zambia,10521,10521,Olyset,LastNight,LastNight,NA,NotLastNight,NA,NA,NA,,
7322,Zambia,10522,10522,Olyset,LastNight,LastNight,NA,LastNight,NA,NotLastNight,NA,,
7558,Zambia,10523,10523,Olyset,NotLastNight,LastNight,NA,LastNight,NA,NotLastNight,NA,,
7590,Zambia,10524,10524,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
8005,Zambia,10525,10525,Olyset,LastNight,NotLastNight,NA,LastNight,NA,Attrited,NA,,
8006,Zambia,10601,10601,Olyset,LastNight,NotLastNight,NA,LastNight,NA,LastNight,NA,,
11675,Zambia,10602,10602,Olyset,LastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
7591,Zambia,10603,10603,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
7323,Zambia,10604,10604,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
7324,Zambia,10605,10605,Olyset,LastNight,LastNight,NA,LastNight,NA,NA,NA,,
7325,Zambia,10606,10606,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
8007,Zambia,10607,10607,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
7592,Zambia,10608,10608,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
7326,Zambia,10609,10609,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
7327,Zambia,10610,10610,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
