"","Country","NetCode","Brand","Round","Status","PHI","Damage_related","Wash","WashFreq","Bedding","Reason","Location"
"20836","Kenya","O137","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20837","Kenya","O139","PermaNet 2.0",24,"Used last night",703,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20838","Kenya","O140","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20839","Kenya","O144","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20840","Kenya","O146","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20841","Kenya","O146","PermaNet 2.0",30,"Used last night",27,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20842","Kenya","O147","PermaNet 2.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20843","Kenya","O150","PermaNet 2.0",24,"Used last night",0,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20844","Kenya","O152","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20845","Kenya","O154","PermaNet 2.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20846","Kenya","O154","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20847","Kenya","O157","PermaNet 2.0",36,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20848","Kenya","O159","PermaNet 2.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20849","Kenya","O159","PermaNet 2.0",30,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20850","Kenya","O159","PermaNet 2.0",42,"Used last night",24,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20851","Kenya","O160","PermaNet 2.0",6,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20852","Kenya","O160","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20853","Kenya","O162","PermaNet 2.0",12,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20854","Kenya","O162","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20855","Kenya","O162","PermaNet 2.0",24,"Used last night",0,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20856","Kenya","O164","PermaNet 2.0",24,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Tied"
"20857","Kenya","O165","PermaNet 2.0",42,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
"20858","Kenya","O166","PermaNet 2.0",18,"Used last night",NA,"No",1,4,"Mattress/Bed","","Hanging - Loose"
